id,year,clearance,carclass,height,length,doorscount,width,fuelconsumption,bodytype,power,cost,availabilitycount,photo,mark,model,dB_at_idle,dB_at_50kmh,dB_at_80kmh,dB_at_100kmh,dB_at_120kmh,dB_at_140kmh,X,Y
704,2018,200,J,1694,4531,5,1838,-1,ALLROAD_5_DOORS,150,1800000,23,http://avatars.mds.yandex.net/get-verba/216201/2a00000160980deaef0f2314c5460de744b4/cattouchret,Ford,Kuga,,,,,,,11.074061,-9.627891
705,2019,185,J,1678,4614,5,1883,-1,ALLROAD_5_DOORS,120,1900000,5,http://avatars.mds.yandex.net/get-verba/1030388/2a0000016fd2cceed4aed4ed7fec9d60f6c2/cattouchret,Ford,Kuga,,,,,,,6.044773,-10.9992895
706,2010,130,D,1512,4837,5,1886,-1,WAGON,140,600000,1,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d008c0458e900d366a74b020e/cattouchret,Ford,Mondeo,,,,,,,-15.212798,11.734638
707,2010,130,D,1500,4850,4,1886,-1,SEDAN,120,700000,17,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4787357ff0c4113fae8598c3/cattouchret,Ford,Mondeo,,,,,,,-15.299794,11.668009
708,2011,130,D,1500,4784,5,1886,-1,LIFTBACK,140,750000,1,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609ae8c685c8ef5386c20042cb95/cattouchret,Ford,Mondeo,,,,,,,-10.298437,13.308314
709,2011,130,D,1500,4850,4,1886,-1,SEDAN,120,650000,12,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4787357ff0c4113fae8598c3/cattouchret,Ford,Mondeo,,,,,,,-15.299797,11.667993
710,2012,130,D,1500,4784,5,1886,-1,LIFTBACK,140,900000,1,http://avatars.mds.yandex.net/get-verba/1030388/2a000001609ae8c685c8ef5386c20042cb95/cattouchret,Ford,Mondeo,,,,,,,-10.298455,13.308254
711,2012,130,D,1500,4850,4,1886,-1,SEDAN,120,750000,9,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4787357ff0c4113fae8598c3/cattouchret,Ford,Mondeo,,,,,,,-15.299798,11.667991
712,2013,130,D,1500,4850,4,1886,-1,SEDAN,120,850000,6,http://avatars.mds.yandex.net/get-verba/787013/2a000001609d4787357ff0c4113fae8598c3/cattouchret,Ford,Mondeo,,,,,,,-15.299796,11.667999
713,2014,128,D,1482,4871,4,1852,-1,SEDAN,199,700000,5,http://avatars.mds.yandex.net/get-verba/787013/2a000001609ce4b0fd4ecec88f32c90dda2c/cattouchret,Ford,Mondeo,,,,,,,-14.279951,7.292799
714,2015,128,D,1482,4871,4,1852,-1,SEDAN,199,1200000,6,http://avatars.mds.yandex.net/get-verba/787013/2a000001609ce4b0fd4ecec88f32c90dda2c/cattouchret,Ford,Mondeo,,,,,,,-14.279949,7.2927313
715,2016,128,D,1482,4871,4,1852,-1,SEDAN,199,1600000,4,http://avatars.mds.yandex.net/get-verba/787013/2a000001609ce4b0fd4ecec88f32c90dda2c/cattouchret,Ford,Mondeo,,,,,,,-14.27998,7.2927213
716,2017,128,D,1501,4867,5,1852,-1,WAGON,125,1400000,3,http://avatars.mds.yandex.net/get-verba/997355/2a000001609d60c975d31e40e0d707cf3cfc/cattouchret,Ford,Mondeo,,,,,,,-15.305571,11.516182
717,2017,128,D,1482,4871,4,1852,-1,SEDAN,199,1400000,4,http://avatars.mds.yandex.net/get-verba/787013/2a000001609ce4b0fd4ecec88f32c90dda2c/cattouchret,Ford,Mondeo,,,,,,,-14.279876,7.2927175
718,2018,128,D,1482,4871,4,1852,-1,SEDAN,199,1600000,3,http://avatars.mds.yandex.net/get-verba/787013/2a000001609ce4b0fd4ecec88f32c90dda2c/cattouchret,Ford,Mondeo,,,,,,,-14.279987,7.292634
719,2019,128,D,1482,4871,4,1852,-1,SEDAN,187,1900000,1,http://avatars.mds.yandex.net/get-verba/216201/2a0000016fdd1aa26e2fde4c7c76dcdedf54/cattouchret,Ford,Mondeo,,,,,,,-14.374508,7.476797
