car_full_id,X,Y
663_2010_Ford_Focus,-3.0985773,-3.8784192
664_2010_Ford_Focus,-2.9738145,-3.880217
665_2011_Ford_Focus,-9.564104,-8.422438
666_2011_Ford_Focus,-1.4887872,-3.79979
667_2012_Ford_Focus,-9.564044,-8.422304
668_2012_Ford_Focus,-0.9024405,-3.4987326
669_2012_Ford_Focus,-1.4887868,-3.799789
670_2013_Ford_Focus,-9.564104,-8.422437
671_2013_Ford_Focus,-0.90244293,-3.4987316
672_2013_Ford_Focus,-1.4887816,-3.7997375
673_2014_Ford_Focus,-9.121843,-7.190289
674_2014_Ford_Focus,-1.1059376,-3.0452821
675_2014_Ford_Focus,-1.381826,-3.229054
676_2015_Ford_Focus,-9.121757,-7.190032
677_2015_Ford_Focus,-1.1059538,-3.0453117
678_2015_Ford_Focus,-1.3813857,-3.2288268
679_2016_Ford_Focus,-9.121756,-7.1900315
680_2016_Ford_Focus,-1.1059493,-3.0452685
681_2016_Ford_Focus,-1.3818264,-3.2290533
682_2017_Ford_Focus,-9.121756,-7.1900325
683_2017_Ford_Focus,-1.1059479,-3.045265
684_2017_Ford_Focus,-1.3818413,-3.2290952
685_2018_Ford_Focus,-8.922003,-6.8745537
686_2018_Ford_Focus,3.504468,-7.944107
687_2019_Ford_Focus,-8.921871,-6.874743
688_2019_Ford_Focus,3.5044677,-7.944107
689_2012_Ford_Focus ST,6.675521,-6.712448
690_2010_Ford_Fusion,-16.545479,-3.152402
691_2011_Ford_Fusion,-16.545427,-3.152384
692_2010_Ford_Galaxy,-0.48234856,15.051838
693_2011_Ford_Galaxy,-0.48234713,15.051835
694_2012_Ford_Galaxy,-0.4823476,15.051838
695_2013_Ford_Galaxy,-0.4823476,15.051856
696_2016_Ford_Galaxy,4.682452,4.0327363
697_2011_Ford_Kuga,-6.7026186,2.2759192
698_2012_Ford_Kuga,-8.230404,7.713149
699_2013_Ford_Kuga,-8.230402,7.713155
700_2014_Ford_Kuga,-8.230402,7.713155
701_2015_Ford_Kuga,-8.230402,7.7131557
702_2016_Ford_Kuga,-7.5134397,7.281517
703_2017_Ford_Kuga,-7.5132127,7.2813873
704_2018_Ford_Kuga,-7.5132294,7.2813864
705_2019_Ford_Kuga,-3.0622191,9.586057
706_2010_Ford_Mondeo,15.669034,-11.393476
707_2010_Ford_Mondeo,15.746227,-11.314206
708_2011_Ford_Mondeo,11.537076,-13.741649
709_2011_Ford_Mondeo,15.746218,-11.314206
710_2012_Ford_Mondeo,11.5370865,-13.741584
711_2012_Ford_Mondeo,15.746243,-11.314005
712_2013_Ford_Mondeo,15.746243,-11.314006
713_2014_Ford_Mondeo,14.25949,-7.063557
714_2015_Ford_Mondeo,14.259511,-7.0633974
715_2016_Ford_Mondeo,14.25935,-7.0632153
716_2017_Ford_Mondeo,15.734716,-11.158704
717_2017_Ford_Mondeo,14.259555,-7.0634446
718_2018_Ford_Mondeo,14.259542,-7.0632453
719_2019_Ford_Mondeo,14.3738785,-7.2381206
720_2014_Ford_Mustang,10.883366,-2.6859894
721_2017_Ford_Mustang,10.874891,-2.6653702
